,SEC_NAME,SEC_ENGLISHNAME,TRADE_CODE,LASTTRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OI,VWAP
2019-07-31,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3843.0,3844.8,3818.2,3830.0,10492.0,30562.0,3829.7970453678995
2019-08-01,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3816.0,3822.0,3778.0,3791.2,13304.0,31407.0,3798.6586440168367
2019-08-02,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3722.2,3738.8,3696.4,3730.0,15769.0,31695.0,3720.8953896886296
2019-08-05,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3710.0,3720.0,3654.4,3656.2,16250.0,32229.0,3686.902326153846
2019-08-06,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3588.0,3628.8,3565.2,3612.6,21743.0,34566.0,3598.176783332567
2019-08-07,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3628.0,3632.8,3586.2,3587.0,14266.0,33646.0,3613.019837375578
2019-08-08,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3611.0,3636.2,3608.2,3622.8,16385.0,34633.0,3622.763478791578
2019-08-09,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3643.0,3643.4,3589.6,3605.0,16199.0,35471.0,3615.9686153466264
2019-08-12,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3618.0,3657.0,3609.0,3651.6,21355.0,41149.0,3628.855846405994
2019-08-13,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3634.0,3646.2,3619.4,3633.6,21257.0,44118.0,3630.202051089053
2019-08-14,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3682.0,3687.2,3653.4,3653.6,31708.0,53934.0,3668.7699318783903
2019-08-15,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3607.0,3681.0,3601.0,3674.6,66086.0,78777.0,3642.818923826529
2019-08-16,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3678.0,3713.4,3658.2,3684.8,91313.0,92907.0,3689.3720937873027
2019-08-19,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3718.4,3787.4,3697.4,3783.4,108377.0,98343.0,3741.803288520627
2019-08-20,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3772.4,3794.0,3771.0,3772.0,71017.0,91349.0,3780.136922145402
2019-08-21,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3770.6,3782.8,3765.6,3775.0,56892.0,88461.0,3775.247359910005
2019-08-22,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3783.2,3785.6,3758.6,3777.2,67974.0,89890.0,3772.9542148468536
2019-08-23,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3780.0,3824.0,3772.4,3805.2,94914.0,99504.0,3803.7943422466647
2019-08-26,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3755.4,3777.6,3744.0,3762.2,84692.0,91924.0,3760.2555849430883
2019-08-27,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3780.0,3850.8,3778.4,3803.4,112067.0,102605.0,3818.072715429163
2019-08-28,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3812.8,3817.6,3786.0,3795.0,67796.0,90084.0,3799.8252433771904
2019-08-29,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3798.4,3800.2,3758.8,3782.2,81786.0,92777.0,3777.9747903064094
2019-08-30,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3807.6,3829.6,3766.0,3791.8,88595.0,90261.0,3800.6502353405945
2019-09-02,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3793.6,3858.0,3788.6,3832.6,87606.0,92810.0,3830.9149852749815
2019-09-03,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3839.8,3844.6,3823.0,3835.0,59650.0,83397.0,3833.9187627829006
2019-09-04,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,3842.0,3888.8,3835.4,3888.0,94788.0,94208.0,3859.338907878634
